budget_date,budget_hour,store_code,category_code,internal_sku,daily_target_units,daily_target_revenue,expected_units_to_hour,expected_revenue_to_hour
2026-05-01,08,GT-0145,ACEITES,,92,175768,7,12555
2026-05-01,08,GT-0145,ACEITES,SKU-0021,5,7520,0,537
2026-05-01,08,GT-0145,ACEITES,SKU-0022,6,9384,0,670
2026-05-01,08,GT-0145,ACEITES,SKU-0023,7,11368,0,812
2026-05-01,08,GT-0145,ACEITES,SKU-0024,2,3368,0,241
2026-05-01,08,GT-0145,ACEITES,SKU-0025,3,4947,0,353
2026-05-01,08,GT-0145,ACEITES,SKU-0026,4,6836,0,488
2026-05-01,08,GT-0145,ACEITES,SKU-0027,5,8845,0,632
2026-05-01,08,GT-0145,ACEITES,SKU-0028,6,10974,0,784
2026-05-01,08,GT-0145,ACEITES,SKU-0029,7,13223,0,944
2026-05-01,08,GT-0145,ACEITES,SKU-0030,2,3708,0,265
2026-05-01,08,GT-0145,ACEITES,SKU-0031,3,5742,0,410
2026-05-01,08,GT-0145,ACEITES,SKU-0032,4,7896,0,564
2026-05-01,08,GT-0145,ACEITES,SKU-0033,5,10170,0,726
2026-05-01,08,GT-0145,ACEITES,SKU-0034,6,12564,0,897
2026-05-01,08,GT-0145,ACEITES,SKU-0035,7,14413,0,1030
2026-05-01,08,GT-0145,ACEITES,SKU-0036,2,4238,0,303
2026-05-01,08,GT-0145,ACEITES,SKU-0037,3,6537,0,467
2026-05-01,08,GT-0145,ACEITES,SKU-0038,4,8956,0,640
2026-05-01,08,GT-0145,ACEITES,SKU-0039,5,11495,0,821
2026-05-01,08,GT-0145,ACEITES,SKU-0040,6,13584,0,970
2026-05-01,08,GT-0145,BEBIDAS,,88,146982,6,10499
2026-05-01,08,GT-0145,BEBIDAS,SKU-0001,3,3807,0,272
2026-05-01,08,GT-0145,BEBIDAS,SKU-0002,4,5316,0,380
2026-05-01,08,GT-0145,BEBIDAS,SKU-0003,5,6945,0,496
2026-05-01,08,GT-0145,BEBIDAS,SKU-0004,6,8694,0,621
2026-05-01,08,GT-0145,BEBIDAS,SKU-0005,7,9898,0,707
2026-05-01,08,GT-0145,BEBIDAS,SKU-0006,2,2948,0,211
2026-05-01,08,GT-0145,BEBIDAS,SKU-0007,3,4602,0,329
2026-05-01,08,GT-0145,BEBIDAS,SKU-0008,4,6376,0,455
2026-05-01,08,GT-0145,BEBIDAS,SKU-0009,5,8270,0,591
2026-05-01,08,GT-0145,BEBIDAS,SKU-0010,6,9714,0,694
2026-05-01,08,GT-0145,BEBIDAS,SKU-0011,7,11753,0,840
2026-05-01,08,GT-0145,BEBIDAS,SKU-0012,2,3478,0,248
2026-05-01,08,GT-0145,BEBIDAS,SKU-0013,3,5397,0,386
2026-05-01,08,GT-0145,BEBIDAS,SKU-0014,4,7436,0,531
2026-05-01,08,GT-0145,BEBIDAS,SKU-0015,5,9120,0,651
2026-05-01,08,GT-0145,BEBIDAS,SKU-0016,6,11304,0,807
2026-05-01,08,GT-0145,BEBIDAS,SKU-0017,7,13608,0,972
2026-05-01,08,GT-0145,BEBIDAS,SKU-0018,2,4008,0,286
2026-05-01,08,GT-0145,BEBIDAS,SKU-0019,3,6192,0,442
2026-05-01,08,GT-0145,BEBIDAS,SKU-0020,4,8116,0,580
2026-05-01,08,GT-0145,CARNES,,88,209022,6,14930
2026-05-01,08,GT-0145,CARNES,SKU-0061,3,5922,0,423
2026-05-01,08,GT-0145,CARNES,SKU-0062,4,8136,0,581
2026-05-01,08,GT-0145,CARNES,SKU-0063,5,10470,0,748
2026-05-01,08,GT-0145,CARNES,SKU-0064,6,12924,0,923
2026-05-01,08,GT-0145,CARNES,SKU-0065,7,14833,0,1060
2026-05-01,08,GT-0145,CARNES,SKU-0066,2,4358,0,311
2026-05-01,08,GT-0145,CARNES,SKU-0067,3,6717,0,480
2026-05-01,08,GT-0145,CARNES,SKU-0068,4,9196,0,657
2026-05-01,08,GT-0145,CARNES,SKU-0069,5,11795,0,842
2026-05-01,08,GT-0145,CARNES,SKU-0070,6,13944,0,996
2026-05-01,08,GT-0145,CARNES,SKU-0071,7,16688,0,1192
2026-05-01,08,GT-0145,CARNES,SKU-0072,2,4888,0,349
2026-05-01,08,GT-0145,CARNES,SKU-0073,3,7512,0,537
2026-05-01,08,GT-0145,CARNES,SKU-0074,4,10256,0,733
2026-05-01,08,GT-0145,CARNES,SKU-0075,5,12645,0,903
2026-05-01,08,GT-0145,CARNES,SKU-0076,6,15534,0,1110
2026-05-01,08,GT-0145,CARNES,SKU-0077,7,18543,0,1324
2026-05-01,08,GT-0145,CARNES,SKU-0078,2,5418,0,387
2026-05-01,08,GT-0145,CARNES,SKU-0079,3,8307,0,593
2026-05-01,08,GT-0145,CARNES,SKU-0080,4,10936,0,781
2026-05-01,08,GT-0145,LACTEOS,,90,193480,6,13820
2026-05-01,08,GT-0145,LACTEOS,SKU-0041,7,12173,0,870
2026-05-01,08,GT-0145,LACTEOS,SKU-0042,2,3598,0,257
